session,avg_reward,final_dist,initial_dist,improvement
0,-0.5727318860590458,0.7371307611465454,0.8693372011184692,0.13220643997192383
1,-1.4260451793670654,1.4224331378936768,1.0993636846542358,-0.3230694532394409
2,-0.938028872013092,0.933107316493988,0.8765326142311096,-0.05657470226287842
3,-0.7073399499058723,0.7150568962097168,1.0470775365829468,0.33202064037323
4,-0.5451139695942402,0.5694642066955566,0.5907213091850281,0.021257102489471436
5,-0.3227050770074129,0.4577319025993347,0.4472425580024719,-0.010489344596862793
6,-0.6685713678598404,0.8175808191299438,0.052017692476511,-0.7655631266534328
7,-1.1122364699840546,1.0263173580169678,1.7882916927337646,0.7619743347167969
8,-0.452321819961071,0.5805057883262634,0.21747930347919464,-0.3630264848470688
9,-1.1907252222299576,1.162855863571167,1.494721531867981,0.33186566829681396
10,-0.47288877330720425,0.5969035029411316,0.2646729052066803,-0.3322305977344513
11,-0.5334904585033655,0.7065616250038147,0.7129184603691101,0.00635683536529541
12,-1.1680880710482597,1.3477213382720947,0.14493410289287567,-1.202787235379219
13,-1.44739431142807,1.1283236742019653,2.9755232334136963,1.847199559211731
14,-0.7644919529557228,0.727385938167572,1.1248891353607178,0.39750319719314575
